Sentence Length /GLOVE,,,600,,,,,,,,110,,,,,,,,10,,,,,,,
,LOSS,LSTM,Accuracy ,,MEA,,Time,,Epoch,,Accuracy ,,MEA,,Time,,Epoch,,Accuracy ,,MEA,,Time,,Epoch,
,,,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std
300,sgd/Mean Asolute Error,512,0.9005474453,0,0.09993957206,9.09E-05,03:57:24,00:44:03,98.1,6.008327554,0.9005474453,0,0.09993624116,9.47E-05,00:15:00,00:02:55,100,0,0.9005474453,0,0.1002262259,9.23E-05,00:03:57,00:00:19,100,0
,,256,0.9005474453,0,0.1002292783,0.0001727616515,01:42:55,00:10:16,98.1,6.008327554,0.9005474453,0,0.1002291525,0.0001449499249,00:06:43,00:00:32,100,0,0.9005474453,0,0.1005465964,0.0001643993208,00:03:15,5.27E-05,100,0
,,128,0.9005474453,0,0.1007583788,0.0002164037579,01:09:20,00:01:05,100,0,0.9005474453,0,0.1007327366,0.0002150991069,00:05:20,00:00:09,100,0,0.9005474453,0,0.101159625,0.0003804905965,00:03:00,1.97E-05,100,0
,,64,0.9006386862,0.0002885289649,0.1013483181,0.000752532434,00:55:39,00:19:14,100,0,0.9005474453,0,0.1012367183,0.0006091994667,00:04:30,00:01:30,100,0,0.9006386862,0.0002885289649,0.1016027743,0.000769024375,00:03:15,00:00:34,100,0
,,-1,0.9034671533,0.00667438771,0.1008921571,0.004869156432,00:02:26,00:04:51,86.6,30.0931886,0.9092153285,0.0245249636,0.09219038164,0.02241641993,00:00:25,00:00:29,91.1,28.14427118,0.9101277372,0.02805399353,0.09087064641,0.02735179472,00:02:37,1.20E-04,91.2,27.82804341
,Adam/Binary Crossentropy,512,0.9741788321,0.02217088617,0.04149062892,0.04179218076,00:25:33,00:06:39,12.1,1.370320319,0.9814781022,0.01633894003,0.02731813005,0.02483116107,00:01:49,00:00:20,12.2,1.398411798,0.9848540146,0.002324205998,0.02113382578,0.00372246616,00:02:26,5.86E-05,11.6,0.6992058988
,,256,0.9770985401,0.01918928642,0.03799364541,0.03102851295,00:14:41,00:02:16,11.7,0.6749485577,0.9852189781,0.00271346813,0.02335100061,0.005465721328,00:01:01,5.04E-05,11.6,0.6992058988,0.986040146,0.002822082892,0.01958667269,0.006707326355,00:02:41,6.45E-05,12.3,1.33749351
,,128,0.9857664234,0.001933120258,0.02266970052,0.004902644793,00:10:38,00:01:14,12.5,1.354006401,0.9859489051,0.003499549833,0.02127187507,0.006222426238,00:01:00,8.75E-05,13.5,2.121320344,0.9858576642,0.001505397639,0.01992348324,0.003064953625,00:02:50,3.33E-05,12.5,0.9718253158
,,64,0.9871350365,0.00296279291,0.03017997972,0.01231501436,00:08:25,00:03:07,13.3,2.057506582,0.9833941606,0.004403153538,0.03729431187,0.01841042486,00:00:57,00:00:14,13.6,2.67498702,0.9815693431,0.01072527776,0.04029771909,0.02727451863,00:02:57,6.88E-05,13.4,1.577621275
,,-1,0.9783759124,0.02736905224,0.04931051479,0.01800914173,00:16:18,00:50:08,20.7,27.88089748,0.9791058394,0.02763609668,0.04809744216,0.0185672046,00:01:32,00:03:39,21.1,27.75067567,0.9596715329,0.02224065884,0.09587352275,0.009180290503,00:03:10,00:01:01,22.3,27.4066091
200,sgd/Mean Asolute Error,512,0.9005474453,0,0.09991604487,7.88E-05,03:30:58,00:31:10,100,0,0.9005474453,0,0.09992314701,8.22E-05,00:11:12,00:01:45,98.5,4.74341649,0.9005474453,0,0.1001177377,9.93E-05,00:05:54,00:00:25,100,0
,,256,0.9005474453,0,0.1002069897,9.79E-05,01:29:55,00:10:03,100,0,0.9005474453,0,0.1002037034,0.0001672873068,00:06:14,00:00:25,100,0,0.9005474453,0,0.1004263754,0.0001373535904,00:04:29,1.18E-04,100,0
,,128,0.9005474453,0,0.1006817824,0.0002236189679,00:51:28,00:02:39,100,0,0.9005474453,0,0.1007010884,0.0003091486514,00:05:05,00:00:09,100,0,0.9005474453,0,0.1009622315,0.0002459432736,00:04:10,6.20E-05,100,0
,,64,0.9005474453,0,0.1011788008,0.0006134465568,00:39:30,00:13:34,98.2,5.692099788,0.9006386862,0.0002885289649,0.1011317143,0.000690285255,00:04:37,00:01:23,100,0,0.9005474453,0,0.1013751439,0.000690775381,00:03:46,00:00:16,100,0
,,-1,0.9081204379,0.0210626158,0.09405807852,0.01620013691,00:02:20,00:04:01,91.2,27.82804341,0.9096715328,0.02628976008,0.09125140399,0.02511272239,00:00:51,00:00:30,91.2,27.82804341,0.9097627737,0.02754222038,0.0912217816,0.02567502019,00:03:02,2.18E-05,91.1,28.14427118
,Adam/Binary Crossentropy,512,0.9740875912,0.01519585979,0.04896940037,0.03043047926,00:35:58,00:56:19,12.5,2.415229458,0.9834854015,0.004720484667,0.02853120964,0.009396372847,00:02:01,00:00:12,12.3,0.9486832981,0.9848540146,0.002859527801,0.02116865372,0.004406965676,00:03:05,3.28E-05,12.2,0.9189365835
,,256,0.9834854015,0.004499777842,0.03095053097,0.01167020846,00:15:07,00:01:47,12.8,1.398411798,0.9827554745,0.003857857776,0.03252125968,0.0104131147,00:01:29,9.92E-05,11.9,0.7378647874,0.9848540146,0.003946746515,0.02903169823,0.009865603779,00:03:26,1.25E-04,11.8,0.632455532
,,128,0.9813868613,0.01021644332,0.03757509934,0.01660663881,00:09:51,00:01:24,12.7,1.494434118,0.982390511,0.00403596944,0.03788942374,0.01075240123,00:01:23,7.20E-05,13.3,2.311805451,0.9836678832,0.004437680428,0.0297604659,0.01156621778,00:03:14,5.57E-05,13,2.160246899
,,64,0.9784671533,0.007575374121,0.05560712767,0.01802449043,00:07:28,00:02:30,13.3,1.636391694,0.9723540146,0.01119989754,0.06052224044,0.01949982963,00:01:17,00:00:12,13.1,2.643650675,0.9762773723,0.01185741403,0.05151128864,0.02444745355,00:03:31,1.30E-04,14.1,2.846049894
,,-1,0.9748175183,0.02618470073,0.0593561294,0.01519883176,00:19:32,00:59:04,21.4,27.64537333,0.9740875913,0.02587196848,0.05933866614,0.0148153326,00:01:44,00:02:57,21.2,27.70800125,0.936040146,0.01334357734,0.1158855147,0.01029948806,00:03:45,00:00:47,21.9,27.5013131
100,sgd/Mean Asolute Error,512,0.9005474453,0,0.09988432378,8.76E-05,02:22:35,00:37:01,100,0,0.9005474453,0,0.09987913896,9.38E-05,00:09:47,00:01:15,100,0,0.9005474453,0,0.1000639904,7.26E-05,00:05:48,3.58E-04,100,0
,,256,0.9005474453,0,0.1001803379,0.0001469748303,00:59:42,00:08:42,100,0,0.9005474453,0,0.1001447629,0.0001082081861,00:06:11,00:00:33,100,0,0.9005474453,0,0.1003827887,0.0001627159151,00:05:01,2.81E-04,100,0
,,128,0.9005474453,0,0.1006391399,0.0002520611312,00:45:54,00:14:53,100,0,0.9005474453,0,0.1006595638,0.0002989263303,00:04:48,00:00:12,100,0,0.9005474453,0,0.1008419556,0.0002479459009,00:04:56,3.49E-04,100,0
,,64,0.9006386862,0.0002885289649,0.1010713372,0.0006577967468,00:50:25,00:23:03,100,0,0.9006386862,0.0002885289649,0.1010484521,0.0006641776185,00:04:47,00:01:16,100,0,0.9005474453,0,0.1012807454,0.0006753150589,00:04:42,00:00:15,100,0
,,-1,0.9024635037,0.00415788851,0.09794366428,0.004222738822,00:02:50,00:07:18,86.1,30.44284262,0.9060218978,0.01474982439,0.09635701571,0.009026534486,00:01:23,00:00:24,90.4,26.71745164,0.9075729927,0.02157889045,0.09367289786,0.01834843331,00:03:55,1.19E-04,85.3,31.73518902
