Sentence Length /GLOVE,,,600,,,,,,,,110,,,,,,,,10,,,,,,,
,LOSS,LSTM,Accuracy ,,MEA,,Time,,Epoch,,Accuracy ,,MEA,,Time,,Epoch,,Accuracy ,,MEA,,Time,,Epoch,
,,,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std
100,sgd/Mean Asolute Error,512,0.8968978102,0,0.1032174015,2.44E-05,04:02:52,00:32:05,495.9,12.96533841,0.8968978102,0,0.1032606593,1.40E-04,00:44:09,00:11:54,461,123.3288287,0.8968978102,0,0.1032717075,1.89E-05,00:17:07,00:00:30,500,0
,,256,0.8968978102,0,0.1033061268,0.0001341915761,02:16:39,00:37:56,463.6,115.1069068,0.8968978102,0,0.1032845029,6.51E-05,00:30:34,00:05:42,465.5,88.11009527,0.8968978102,0,0.1033384114,6.43E-05,00:20:59,00:04:14,474.3,81.27053587
,,128,0.8968978102,0,0.1033408826,4.10E-05,01:35:52,00:00:51,500,0,0.8968978102,0,0.1033383915,3.70E-05,00:24:52,00:00:10,500,0,0.8968978102,0,0.103385291,4.30E-05,00:16:57,00:01:24,500,0
,,64,0.8968978102,0,0.103376099,0.0001806172405,01:28:13,00:30:14,500,0,0.8968978102,0,0.1033997824,0.0001598751651,00:23:19,00:06:23,500,0,0.8968978102,0,0.1034436108,0.0001521743153,00:18:39,00:03:30,481.5,58.50213671
,,-1,0.9046532847,0.0245249636,0.09910079361,0.01264762855,00:02:31,00:01:31,362.3,189.2958003,0.9056569343,0.02769878243,0.09569690815,0.02314929964,00:04:55,00:00:20,396.7,163.8576957,0.9042883211,0.02337084767,0.09992829156,0.009989032523,00:11:13,00:02:03,405.4,159.2434893
,Adam/Binary Crossentropy,512,0.9378649635,0.03526787385,0.1200851709,0.05342478141,00:07:27,00:01:29,13,2.309401077,0.9642335766,0.01797133888,0.07114004732,0.02795854234,00:04:41,00:00:11,12.2,1.229272594,0.9751824817,0.007607055081,0.05534541554,0.02824195651,00:08:14,00:00:59,12.1,1.100504935
,,256,0.9676094891,0.008880049461,0.07041619897,0.01658366338,00:04:46,00:00:40,12.4,1.349897115,0.9641423358,0.01989734588,0.0639310544,0.02485227859,00:04:24,00:00:10,13,2.357022604,0.9694343066,0.01262257055,0.06007775946,0.02571248912,00:09:14,00:01:32,12.2,1.549193338
,,128,0.9638686131,0.0220543875,0.07535360653,0.03601508439,00:03:58,00:00:51,14.5,4.453463072,0.9579379562,0.01909263623,0.08389352469,0.02967466607,00:04:17,7.99E-05,13.1,2.024845673,0.9642335767,0.01665711804,0.07329879562,0.02985403066,00:09:16,00:01:16,13.2,1.813529401
,,64,0.9495437956,0.02449024012,0.1065837003,0.04539812979,00:03:52,00:01:10,14.5,3.535533906,0.9393248175,0.02942508423,0.1116487805,0.04076820506,00:04:22,00:00:14,13.6,3.098386677,0.9387773723,0.02785280404,0.09494390633,0.03467269562,00:07:44,00:00:12,14.5,2.838231061
,,-1,0.955109489,0.02171882107,0.09718186981,0.00497333205,00:25:48,01:17:44,60.9,154.2857738,0.9558394161,0.02146779733,0.09457524491,0.01091764527,00:08:36,00:14:51,61.6,154.0542473,0.911040146,0.00850766469,0.1413825232,0.01637430594,00:08:07,00:00:45,62.6,153.701153
50,Adam/Binary Crossentropy,512,0.8968978102,0,0.1033045637,0.0001758855848,03:17:53,01:22:01,421.7,165.0751008,0.8968978102,0,0.1032377061,9.72E-05,00:45:29,00:11:27,463.3,116.0555901,0.8968978102,0,0.1032787053,3.31E-05,00:14:02,00:02:38,479.1,66.0916031
,,256,0.8968978102,0,0.1032783902,8.15E-05,02:11:20,00:30:17,469.7,95.8170131,0.8968978102,0,0.1032504051,3.11E-05,00:33:51,00:02:36,500,0,0.8968978102,0,0.1033092343,2.49E-05,00:09:38,00:00:42,500,0
,,128,0.8968978102,0,0.1033341385,4.39E-05,01:34:19,00:00:58,500,0,0.8968978102,0,0.1033512406,5.36E-05,00:25:56,00:02:53,480.8,60.71573108,0.8968978102,0,0.1033853927,4.85E-05,00:05:17,00:01:16,500,0
,,64,0.8968978102,0,0.1034024493,0.0001192565968,01:28:53,00:30:22,500,0,0.8968978102,0,0.1034910691,0.0001716167991,00:24:38,00:07:07,458.2,132.1832062,0.8968978102,0,0.1034542096,8.94E-05,00:04:14,00:01:20,500,0
,,-1,0.9026459854,0.01817732596,0.1005495517,0.008508151728,00:03:18,00:02:31,392.1,187.5387071,0.9048357664,0.02510202159,0.09814636149,0.0159895459,00:05:50,00:00:32,398.1,191.1017472,0.901459854,0.01410877555,0.1084466024,0.01720657199,00:00:27,4.64E-05,419.7,174.2399686
,sgd/Mean Asolute Error,512,0.9083029197,0.02344513764,0.1522039665,0.03573546395,00:10:17,00:03:30,18.4,6.619835513,0.9276459854,0.01019695882,0.1191296724,0.0162218717,00:05:26,00:00:09,11.7,0.4830458915,0.948540146,0.02063738725,0.09135925824,0.02631329182,00:00:34,4.67E-05,12.5,1.715938357
,,256,0.9350364964,0.02123646495,0.105485781,0.02997751465,00:05:07,00:00:42,12.6,1.837873167,0.9375,0.01906742696,0.1063892339,0.02300342561,00:05:11,7.86E-05,13.2,1.619327707,0.9393248175,0.01950862786,0.1129956048,0.02227304253,00:00:28,3.54E-05,12.3,1.159501809
,,128,0.9386861314,0.02965539015,0.1099576786,0.0444228806,00:04:21,00:00:38,14.1,3.348299734,0.9490875912,0.02101755357,0.09296607218,0.03334240416,00:05:07,9.57E-05,15,3.055050463,0.9350364964,0.02360849705,0.119164021,0.04476105442,00:00:28,5.60E-05,13.6,2.67498702
,,64,0.938959854,0.02773299072,0.1078593379,0.03804505885,00:04:40,00:01:19,16,4.216370214,0.9296532847,0.02614316029,0.1200963691,0.04014535105,00:05:08,00:00:18,14.8,4.131182236,0.9192518248,0.02009256767,0.1408102101,0.03553188807,00:00:29,4.50E-05,15,4.268749492
,,-1,0.9328467153,0.013181421,0.1194669284,0.008295965937,00:06:59,00:16:33,61.9,153.9411504,0.932390511,0.01287075015,0.1209659469,0.007399062214,00:05:36,00:03:07,61.5,154.0788038,0.9029805353,0.003026117504,0.1622508214,0.004517878223,00:00:23,1.02E-05,17.22222222,4.116363012
