Sentence Length /GLOVE,,,600,,,,,,,,110,,,,,,,,10,,,,,,,
,LOSS,LSTM,Accuracy ,,MEA,,Time,,Epoch,,Accuracy ,,MEA,,Time,,Epoch,,Accuracy ,,MEA,,Time,,Epoch,
,,,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std
300,sgd/Mean Asolute Error,512,0.799270073,0,0.2014426716,0.00008074152229,04:00:57,00:46:39,100,0,0.799270073,0,0.201474323,0.0001102275003,00:32:30,00:21:18,100,0,0.799270073,0,0.2018359876,0.0001129686882,00:07:21,00:00:12,100,0
,,256,0.799270073,0,0.2017388649,0.0001360450089,01:43:50,00:11:45,100,0,0.799270073,0,0.2017079795,0.0001297730677,00:11:56,00:02:07,100,0,0.799270073,0,0.2021769696,0.0001441064147,00:06:51,00:00:03,100,0
,,128,0.799270073,0,0.2022688037,0.0002954065228,01:09:16,00:02:19,100,0,0.799270073,0,0.2022580962,0.0002706933393,00:09:21,00:01:52,100,0,0.799270073,0,0.2026889958,0.0002328474245,00:06:51,00:00:02,100,0
,,64,0.799270073,0,0.2028581224,0.0004042225871,00:57:29,00:20:22,100,0,0.799270073,0,0.2028787093,0.000368321481,00:11:29,00:03:08,100,0,0.799270073,0,0.2033334101,0.0004601256663,00:06:48,00:00:17,100,0
,,-1,0.8164233577,0.05424344891,0.1857578783,0.05108547995,00:03:25,00:07:36,91.1,28.14427118,0.8158759124,0.05251227503,0.1898388438,0.03811660969,00:03:08,00:00:34,91.2,27.82804341,0.8160583942,0.05308933299,0.1857909139,0.05117437694,00:06:03,00:00:08,91.1,28.14427118
,Adam/Binary Crossentropy,512,0.9462591241,0.04753572774,0.0867436938,0.09192607661,00:30:07,00:08:29,13.2,2.394437999,0.9692518248,0.005674403334,0.04653658239,0.01225734239,00:04:43,00:00:27,11.9,1.100504935,0.9670620438,0.00366102237,0.04114176268,0.007268152125,00:05:43,00:00:03,11.7,0.8232726023
,,256,0.9721715328,0.003197049282,0.04150038201,0.01106835808,00:13:57,00:04:00,14.1,3.871548642,0.9724452555,0.004668268567,0.03634567723,0.007850984094,00:04:36,00:01:30,12.4,1.0749677,0.9719890511,0.003042882844,0.0351371082,0.008111526359,00:05:46,00:00:04,12.5,2.013840996
,,128,0.972810219,0.004956581201,0.03775512399,0.007687739465,00:09:16,00:01:13,12.9,1.595131482,0.9714416058,0.004058823342,0.04209326301,0.01250377068,00:04:11,00:00:28,13.3,1.82878223,0.9677919708,0.004058823351,0.04062870234,0.01275568285,00:05:54,00:00:03,12.6,1.0749677
,,64,0.9711678832,0.007352301271,0.05020595373,0.01760802885,00:12:07,00:04:39,13.7,1.33749351,0.9718978102,0.00621510451,0.04661594616,0.02288088709,00:08:56,00:13:36,13.6,2.118699811,0.966149635,0.008300747036,0.06292525295,0.03716345745,00:06:01,00:00:04,13.3,2.162817093
,,-1,0.9571167883,0.0555646197,0.09244854732,0.03853128545,00:22:36,01:09:55,20.4,27.9809459,0.9570255475,0.05553039942,0.09043632389,0.03925099598,00:05:19,00:07:19,20.8,27.83602781,0.9138686132,0.04134284633,0.1925199464,0.01010545326,00:06:15,00:00:49,21,27.78088871
200,sgd/Mean Asolute Error,512,0.799270073,0,0.2014844443,0.00008818352207,03:26:09,00:39:39,100,0,0.799270073,0,0.2014932889,7.73E-05,00:23:00,00:02:48,100,0,0.799270073,0,0.2017132863,7.23E-05,00:08:29,00:00:10,100,0
,,256,0.799270073,0,0.2017606091,0.0001867422359,01:25:14,00:13:53,100,0,0.799270073,0,0.2017534631,0.0001525736963,00:15:13,00:00:37,100,0,0.799270073,0,0.2020074812,0.0001412919216,00:08:07,00:00:03,100,0
,,128,0.799270073,0,0.2021778284,0.0001387185846,00:49:42,00:02:25,100,0,0.799270073,0,0.2022737079,0.0002573564344,00:12:56,00:00:17,100,0,0.799270073,0,0.2024992031,0.0002353344537,00:08:03,00:00:03,100,0
,,64,0.799270073,0,0.2028366772,0.0004871233595,01:02:18,01:09:30,100,0,0.799270073,0,0.2028020711,0.0004166660657,00:11:31,00:03:00,100,0,0.799270073,0,0.2030198054,0.0005275887199,00:08:04,00:00:15,100,0
,,-1,0.8159671533,0.05280080399,0.1874267282,0.0448753127,00:03:42,00:07:34,91.2,27.82804341,0.8166970803,0.05510903587,0.1860093397,0.04932704135,00:04:07,00:00:31,91.2,27.82804341,0.8163321168,0.05395491991,0.1851232645,0.05225076668,00:07:23,00:00:08,91.3,27.51181564
,Adam/Binary Crossentropy,512,0.95,0.04868802516,0.07565653754,0.06646101737,00:25:11,00:06:05,14.7,3.056868405,0.953649635,0.01872748458,0.08695519028,0.03939906122,00:05:36,00:00:26,12.1,1.100504935,0.9677007299,0.007276424105,0.04318428457,0.0132583321,00:08:19,00:03:29,12.3,1.059349905
,,256,0.9718065693,0.004950045272,0.04310105777,0.01052073352,00:10:44,00:02:46,14.3,2.750757471,0.9604014599,0.01599652611,0.06495616994,0.03140755535,00:07:51,00:09:22,13,2.748737084,0.9665145985,0.006787759743,0.0474330011,0.01230500021,00:07:00,00:00:15,12.3,1.636391694
,,128,0.9688868613,0.007330251572,0.05360111838,0.01584897738,00:09:14,00:00:52,13.5,1.08012345,0.9650547445,0.01684623855,0.05533461975,0.02884439769,00:04:41,00:00:12,13.8,1.932183566,0.9652372263,0.01002681463,0.0612650689,0.02079539526,00:06:44,00:00:02,11.9,0.994428926
,,64,0.9660583942,0.008844039588,0.06385405063,0.02689838718,00:12:41,00:04:30,15.1,2.424412873,0.9677007299,0.01032451871,0.066224419,0.03004470153,00:04:40,00:00:25,14.7,2.311805451,0.9518248175,0.03431972449,0.08686233556,0.0544262121,00:06:47,00:00:04,13.4,2.913569784
,,-1,0.9505474453,0.0533129251,0.1101892823,0.03246631739,00:19:53,00:59:59,20.9,27.80667386,0.9486313869,0.05266398276,0.1091329246,0.03287969152,00:05:11,00:05:00,20.8,27.84400993,0.888229927,0.0346588582,0.2064343934,0.01240996217,00:07:01,00:00:50,22.5,27.30588052
100,sgd/Mean Asolute Error,512,0.799270073,0,0.2015363762,0.0001007510642,03:17:36,01:41:15,100,0,0.799270073,0,0.2015282021,6.76E-05,00:19:05,00:01:18,100,0,0.799270073,0,0.2016860065,7.15E-05,00:09:20,00:00:12,100,0
,,256,0.799270073,0,0.201750461,0.0001196210776,01:19:17,00:14:06,100,0,0.799270073,0,0.2017772299,0.0001305538395,00:16:25,00:03:51,100,0,0.799270073,0,0.2019760183,0.0001664512968,00:09:00,00:00:08,100,0
,,128,0.799270073,0,0.202183979,0.0002363017734,00:43:42,00:02:30,100,0,0.799270073,0,0.2022447653,0.000225418439,00:12:42,00:00:12,100,0,0.799270073,0,0.2024901887,0.0002670459193,00:08:50,00:00:06,100,0
,,64,0.799270073,0,0.2027895973,0.0004530402607,00:36:59,00:15:59,100,0,0.799270073,0,0.2027891879,0.0004270318938,00:11:46,00:02:30,100,0,0.799270073,0,0.2029463975,0.000546218229,00:08:44,00:00:16,100,0
,,-1,0.8128649635,0.04299081855,0.1981898028,0.01087804591,00:03:09,00:05:05,88.7,28.32372386,0.8155109489,0.05135815907,0.1879373056,0.04333206957,00:04:54,00:00:31,88.9,27.22111109,0.8166058394,0.05482050687,0.1873817602,0.0450030989,00:08:02,00:00:06,91.5,26.87936011
,Adam/Binary Crossentropy,512,0.9286496351,0.04336219361,0.1220550438,0.05831902251,00:18:10,00:03:33,15.3,2.668749187,0.9340328467,0.05188363024,0.1187353382,0.07927701749,00:06:17,00:00:19,14.3,1.766981104,0.9406934307,0.0170804393,0.1052652098,0.01995863975,00:07:42,00:00:07,11.9,0.8755950358
,,256,0.9510036496,0.01364924741,0.09185104053,0.02319843629,00:09:42,00:01:18,15.1,1.595131482,0.9572992701,0.01890445971,0.07620750742,0.03178888156,00:05:57,00:00:22,15.2,2.898275349,0.9496350365,0.01496028887,0.09202903477,0.0272812009,00:07:51,00:00:03,12.5,1.08012345
,,128,0.9561131387,0.0209410565,0.084146414,0.04472937396,00:09:13,00:01:47,15.7,2.162817093,0.9504562044,0.03248155248,0.08798693129,0.04359323621,00:05:40,00:00:12,14.9,2.183269719,0.9410583942,0.02311515557,0.116286347,0.04831512747,00:07:58,00:00:06,13.3,2.263232693
,,64,0.9447080292,0.02515778611,0.1083093227,0.04130620181,00:10:34,00:03:33,16,2.98142397,0.9340328467,0.02712462322,0.1216267953,0.04662519527,00:05:43,00:00:27,15.9,2.766867463,0.9089416058,0.03389939295,0.1626871603,0.04732846276,00:08:05,00:00:02,13.3,1.418136492
,,-1,0.9311131387,0.04703651765,0.1465949432,0.02068262314,00:16:07,00:46:24,21.6,27.57696301,0.9268248175,0.04644390622,0.1485577581,0.02128376879,00:06:12,00:04:56,21.3,27.70900375,0.8462591241,0.02716959985,0.2431802041,0.02077590457,00:08:17,00:00:44,24.1,27.06966322
50,Adam/Binary Crossentropy,512,0.799270073,0,0.20151735,0.00008754311552,02:35:22,00:50:01,100,0,0.799270073,0,0.2015209872,6.75E-05,00:19:51,00:01:20,100,0,0.799270073,0,0.2017061976,6.95E-05,00:10:21,00:00:12,100,0
,,256,0.799270073,0,0.201740739,0.0001491479181,02:27:38,03:05:30,100,0,0.799270073,0,0.2017547978,0.0001389969938,00:15:46,00:01:00,100,0,0.799270073,0,0.2019983356,0.0001535442424,00:09:54,00:00:10,100,0
,,128,0.799270073,0,0.2022176706,0.0002064372171,00:41:17,00:02:36,100,0,0.799270073,0,0.2022348383,0.0002644126349,00:13:38,00:00:05,100,0,0.799270073,0,0.202494623,0.0002473914367,00:10:47,00:03:41,100,0
,,64,0.799270073,0,0.2029153675,0.0004415614624,00:40:32,00:17:01,100,0,0.799270073,0,0.2027962403,0.0003665513017,00:13:09,00:02:28,100,0,0.799270073,0,0.2030369686,0.0004480179929,00:09:20,00:00:16,100,0
,,-1,0.8059306569,0.0210626158,0.2013397096,0.001223555865,00:03:35,00:04:33,89.3,27.26841885,0.8016423358,0.007501753562,0.2063710942,0.01481511612,00:05:16,00:00:30,91.4,27.19558788,0.8127737226,0.04270228956,0.1952571471,0.02064505459,00:08:44,00:00:03,91.4,27.19558788
